label,group,name,weight,mean,cost
rubis_secondary_browsing_result_no_si_2_8,BrowseCategories,"SELECT users.nickname, users.password FROM users WHERE users.id = ? -- 1",4.44,0.0022731918,0.009220552463838648
rubis_secondary_browsing_result_no_si_2_8,BrowseCategories,"SELECT users.nickname, users.password FROM users WHERE users.rating = ? -- 1_secondary",4.44,0.0017586322,0.011550715867729919
rubis_secondary_browsing_result_no_si_2_8,BrowseCategories,"SELECT categories.id, categories.name FROM categories WHERE categories.dummy = 1 -- 2",4.44,0.00172602,0.009267389919193247
rubis_secondary_browsing_result_no_si_2_8,ViewBidHistory,SELECT items.name FROM items WHERE items.id = ? -- 3,2.38,0.001704478,0.009220552463838648
rubis_secondary_browsing_result_no_si_2_8,ViewBidHistory,SELECT items.name FROM items WHERE items.quantity = ? -- 3_secondary,2.38,2.9732377476,0.0326275707772992
rubis_secondary_browsing_result_no_si_2_8,ViewBidHistory,"SELECT users.id, users.nickname, bids.id, item.id, bids.qty, bids.bid, bids.date FROM users.bids.item WHERE item.id = ? ORDER BY bids.date -- 4",2.38,0.0025658668,0.009325936738386496
rubis_secondary_browsing_result_no_si_2_8,ViewBidHistory,"SELECT users.id, users.nickname, bids.id, item.id, bids.qty, bids.bid, bids.date FROM users.bids.item WHERE item.quantity = ? -- 4_secondary",2.38,91.2588261182,0.243396119872992
rubis_secondary_browsing_result_no_si_2_8,ViewItem,SELECT items.* FROM items WHERE items.id = ? -- 5,22.95,0.0018110184,0.009220552463838648
rubis_secondary_browsing_result_no_si_2_8,ViewItem,SELECT items.* FROM items WHERE items.quantity = ? -- 5_secondary,22.95,11.402331183200001,0.0326275707772992
rubis_secondary_browsing_result_no_si_2_8,ViewItem,SELECT bids.* FROM items.bids WHERE items.id = ? -- 6,22.95,0.0021159454000000003,0.009325936738386496
rubis_secondary_browsing_result_no_si_2_8,ViewItem,SELECT bids.* FROM items.bids WHERE items.quantity = ? -- 6_secondary,22.95,57.6560839948,0.243396119872992
rubis_secondary_browsing_result_no_si_2_8,SearchItemsByCategory,"SELECT items.id, items.name, items.initial_price, items.max_bid, items.nb_of_bids, items.end_date FROM items.category WHERE category.id = ? AND items.end_date >= ? LIMIT 25 -- 7",27.77,0.0028117718,0.009501577195966239
rubis_secondary_browsing_result_no_si_2_8,SearchItemsByCategory,"SELECT items.id, items.name, items.initial_price, items.max_bid, items.nb_of_bids, items.end_date FROM items.category WHERE category.dummy = ? AND items.end_date >= ? LIMIT 25 -- 7_secondary",27.77,0.0025244308,0.009501577195966239
rubis_secondary_browsing_result_no_si_2_8,ViewUserInfo,SELECT users.* FROM users WHERE users.id = ? -- 8,4.41,0.0016904638,0.009220552463838648
rubis_secondary_browsing_result_no_si_2_8,ViewUserInfo,SELECT users.* FROM users WHERE users.rating = ? -- 8_secondary,4.41,0.0015538,0.011550715867729919
rubis_secondary_browsing_result_no_si_2_8,ViewUserInfo,"SELECT comments.id, comments.rating, comments.date, comments.comment FROM comments.to_user WHERE to_user.id = ? -- 9",4.41,0.003497028,0.00979431129193248
rubis_secondary_browsing_result_no_si_2_8,ViewUserInfo,"SELECT comments.id, comments.rating, comments.date, comments.comment FROM comments.to_user WHERE to_user.rating = ? -- 9_secondary",4.41,0.0030344046,0.126302481486496
rubis_secondary_browsing_result_no_si_2_8,SearchItemsByRegion,"SELECT items.id, items.name, items.initial_price, items.max_bid, items.nb_of_bids, items.end_date FROM items.seller WHERE seller.region.id = ? AND items.category.id = ? AND items.end_date >= ? LIMIT 25 -- 35",8.26,0.0030623922000000002,0.009302518010709197
rubis_secondary_browsing_result_no_si_2_8,BrowseRegions,"SELECT regions.id, regions.name FROM regions WHERE regions.dummy = 1 -- 36",3.21,0.001650998,0.009214697781919324
